Kabupaten/Kota,Pengeluaran per Kapita (Minggu),Rata-rata Pengeluaran Rokok Perkapita Seminggu
Banjarnegara,188000,18808.68
Kebumen,178500,15337.20
Purworejo,205212,12569.00
Wonosobo,213615,17747.78
Magelang,192519,14322.00
Boyolali,254808,17707.99
Klaten,240808,13458.49
Sukoharjo,227712,12156.07
Wonogiri,188077,14661.91
Karanganyar,226885,13987.66
Sragen,251000,18456.73
Grobogan,204038,18539.28
Blora,193596,18636.59
Rembang,210327,22954.57
Pati,210538,20094.16
Kudus,223250,15905.81
Jepara,209865,20325.73
Demak,205731,23611.67
Semarang,239385,16182.05
Temanggung,187942,11419.79
Kendal,230750,15206.34
Batang,191769,17465.30
Pekalongan,205904,17799.94
Pemalang,172962,20752.68
Tegal,192692,15763.75
Brebes,202192,21546.55
Kota Magelang,246462,18000.82
Kota Surakarta,297365,13068.69
Kota Salatiga,314442,16202.12
Kota Semarang,308596,14948.54
Kota Pekalongan,253038,14984.15
Kota Tegal,258750,17924.37
Kulon Progo,202135,11762.84
Bantul,307731,13162.25
Gunung Kidul,189885,11349.45
Sleman,316115,14377.57
Kota Yogyakarta,371519,11889.08
Pacitan,176615,7911.53
Ponorogo,196135,12519.92
Trenggalek,193115,11431.44
Tulungagung,214654,16017.71
Blitar,211558,13073.33
Kediri,222404,14813.51
Malang,198577,16151.39
Lumajang,182038,14762.53
Jember,189231,14242.71
Banyuwangi,236923,18516.71
Bondowoso,208673,15195.67
Situbondo,197365,19862.07
Probolinggo,216423,15729.57
Pasuruan,206269,19158.88
Sidoarjo,284769,18814.64
Mojokerto,250981,20739.34
Jombang,222673,19149.02
Nganjuk,237481,17411.48
Madiun,227846,14735.34
Magetan,231365,15591.33
Ngawi,222365,14887.15
Bojonegoro,198519,18145.86
Tuban,205827,21123.88
Lamongan,224000,22913.30
Gresik,257385,20061.91
Bangkalan,172519,20625.93
Sampang,172000,20786.57
Pamekasan,172442,19603.92
Sumenep,180538,31332.80
Kota Kediri,245423,14499.04
Kota Blitar,270346,14067.73
Kota Malang,324942,13924.15
Kota Probolinggo,241750,12338.77
Kota Pasuruan,265442,17286.38
Kota Mojokerto,270269,14044.42
Kota Madiun,317365,12375.33
Kota Surabaya,352788,16035.81
Kota Batu,251808,19090.34
Pandeglang,169750,28456.42
Lebak,170269,37061.10
Tangerang,238981,27999.06
Serang,209923,32332.65
Kota Tangerang,286712,25050.63
Kota Cilegon,253558,27356.48
Kota Serang,263635,27260.59
Kota Tangerang Selatan,307635,20006.38
Jembrana,229135,15716.72
Tabanan,278365,14013.76
Badung,335481,12288.33
Gianyar,281346,10579.84
Klungkung,221154,8977.81
Bangli,219692,10935.43
Karangasem,197654,7332.32
Buleleng,260173,9759.07
Kota Denpasar,381731,10460.83
Lombok Barat,226038,15880.77
Lombok Tengah,201346,15710.86
Lombok Timur,185212,14064.10
Sumbawa,184577,20540.97
Dompu,176981,20388.12
Bima,167288,20746.52
Sumbawa Barat,230519,21373.45
