Kabupaten_Kota;Pengeluaran_per_Kapita_(Orang/Tahun);Rata-rata_Pengeluaran_Rokok_Perkapita_Seminggu 
Kota Bogor;12058000;19255.80
Kota Sukabumi;11229000;19514.61
Kota Bandung;17639000;19908.41
Kota Cirebon;12087000;15859.50
Kota Bekasi;16239000;17258.17
Kota Depok;15926000;20210.65
Kota Cimahi;12500000;18367.75
Kota Tasikmalaya;10578000;17706.20
Kota Banjar;10967000;21813.79
Cilacap;10904000;17511.26
Banyumas;11905000;16959.28
Purbalingga;10277000;16858.85
Banjarnegara;9776000;18808.68
Kebumen;9282000;15337.20
Purworejo;10671000;12569.00
Wonosobo;11108000;17747.78
Magelang;10011000;14322.00
Boyolali;13250000;17707.99
Klaten;12522000;13458.49
Sukoharjo;11841000;12156.07
Wonogiri;9780000;14661.91
Karanganyar;11798000;13987.66
Sragen;13052000;18456.73
Grobogan;10610000;18539.28
Blora;10067000;18636.59
Rembang;10937000;22954.57
Pati;10948000;20094.16
Kudus;11609000;15905.81
Jepara;10913000;20325.73
Demak;10698000;23611.67
Semarang;12448000;16182.05
Temanggung;9773000;11419.79
Kendal;11999000;15206.34
Batang;9972000;17465.30
Pekalongan;10707000;17799.94
Pemalang;8994000;20752.68
Tegal;10020000;15763.75
Brebes;10514000;21546.55
Kota Magelang;12816000;18000.82
Kota Surakarta;15463000;13068.69
Kota Salatiga;16351000;16202.12
Kota Semarang;16047000;14948.54
Kota Pekalongan;13158000;14984.15
Kota Tegal;13455000;17924.37
Kulon Progo;10511000;11762.84
Bantul;16002000;13162.25
Gunung Kidul;9874000;11349.45
Sleman;16438000;14377.57
Kota Yogyakarta;19319000;11889.08
Pacitan;9184000;7911.53
Ponorogo;10199000;12519.92
Trenggalek;10042000;11431.44
Tulungagung;11162000;16017.71
Blitar;11001000;13073.33
Kediri;11565000;14813.51
Malang;10326000;16151.39
Lumajang;9466000;14762.53
Jember;9840000;14242.71
Banyuwangi;12320000;18516.71
Bondowoso;10851000;15195.67
Situbondo;10263000;19862.07
Probolinggo;11254000;15729.57
Pasuruan;10726000;19158.88
Sidoarjo;14808000;18814.64
Mojokerto;13051000;20739.34
Jombang;11579000;19149.02
Nganjuk;12349000;17411.48
Madiun;11848000;14735.34
Magetan;12031000;15591.33
Ngawi;11563000;14887.15
Bojonegoro;10323000;18145.86
Tuban;10703000;21123.88
